diff_len,diff_word,start_word,common,fuzz_ratio,fuzz_sort_ratio,jaccard,word_share,q1_noun,q2_noun,q1_verb,q2_verb,q1_adj,q2_adj,q1_adverb,q2_adverb,q1_conj,q2_conj,q1_pronoun,q2_pronoun,q1_prepo,q2_prepo,manhatten,cos_sim,euclidean,target
-20,2,1,15,22,45,0.1,0.733333333,5,4,1,1,0,0,1,1,0,0,0,0,3,2,0.538014335,0.961550977,0.277304969,0
-37,-5,1,8,65,63,0.1,0.388888889,4,5,0,1,1,1,0,1,0,0,0,0,1,1,3.272436541,0.566288314,0.931355663,0
-13,4,1,4,21,41,0.2,0.2,3,2,2,2,1,0,0,0,0,0,0,0,2,2,4.371660167,0.273272905,1.205592879,0
-37,-2,0,0,37,41,0,0,0,3,2,1,1,0,3,0,0,0,1,0,0,1,5.560446733,0,1.414213562,0
-12,6,1,4,28,29,0.111111111,0.25,8,3,0,1,0,0,0,0,1,0,0,0,2,1,4.224822257,0.333857856,1.154246199,0
-3,0,0,12,20,30,1,0.47826087,6,5,0,1,1,2,0,0,1,1,1,1,1,2,2.946865397,0.537119149,0.962165112,1
-67,-7,0,0,25,19,0.285714286,0,0,2,2,0,0,2,0,1,0,2,0,0,1,1,4.775957068,0,1.414213562,0
-56,-2,0,4,22,23,0.636363636,0.333333333,1,1,2,3,1,1,0,0,0,0,0,0,0,0,2.846082377,0.476410922,1.023317232,1
-55,1,1,6,29,30,0,0.666666667,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0.35960485,0.962372275,0.274327266,0
-29,0,0,4,18,16,0,0.285714286,4,4,2,1,0,1,0,0,0,0,0,0,0,1,3.124452721,0.486242581,1.013664066,0
-29,-10,0,2,22,30,0.142857143,0.037037037,3,2,1,1,0,0,0,0,0,2,0,0,1,3,6.406809738,0.040176952,1.385512936,0
-43,1,1,5,31,35,0.75,0.416666667,1,1,3,2,0,0,0,0,1,0,0,0,0,0,2.432587087,0.539284789,0.959911674,1
-50,-1,0,6,25,27,1,0.666666667,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0.762636875,0.923735646,0.39054924,1
-43,1,1,6,26,30,0.166666667,0.857142857,1,1,0,0,2,2,0,0,0,0,0,0,1,0,0.468391931,0.942725303,0.338451466,1
54,0,1,46,22,27,0.222222222,0.567567568,6,6,2,2,1,1,0,0,0,0,2,2,3,3,0.483389029,0.941583762,0.341807661,0
7,-1,0,4,39,40,0,0.137931034,6,1,0,1,3,1,0,1,0,1,0,2,2,2,5.448156019,0.241656619,1.231538372,1
-58,0,1,3,26,29,1,0.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.346216079,0.611718457,0.881228169,1
-29,4,0,1,32,37,0.111111111,0.052631579,1,1,2,1,0,0,0,0,0,0,1,0,1,1,5.454582172,0.033220751,1.390524541,0
-4,1,1,5,23,23,0.5,0.227272727,1,1,0,2,1,0,2,1,0,0,0,0,1,1,4.495468989,0.388390005,1.105992762,1
-26,0,1,7,33,33,0.2,0.636363636,3,3,0,0,1,1,0,0,0,0,0,0,1,1,1.841360008,0.594483676,0.90057351,0
-60,-2,1,3,16,29,1,0.333333333,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2.401016051,0.564366445,0.9334169,1
-49,-3,1,4,33,31,0.272727273,0.307692308,1,1,1,2,1,1,0,0,0,0,0,0,0,1,2.619501689,0.495041609,1.004946159,0
-39,2,0,4,36,37,1,0.333333333,0,1,1,2,0,0,1,0,0,0,0,0,1,1,2.375133007,0.582901956,0.913343357,0
-62,-4,0,0,20,20,0.2,0,2,3,0,3,1,0,0,0,0,0,0,0,1,1,5.316795471,0,1.414213562,0
-7,6,0,1,33,45,0.222222222,0.037037037,2,3,1,1,2,2,0,0,0,0,1,0,2,0,5.663509621,0.130729222,1.318537658,0
-7,-1,1,13,30,42,0.6,0.8125,3,5,0,0,0,0,0,0,0,0,1,1,3,3,1.188206469,0.824803833,0.591939469,0
-62,-2,1,4,27,26,0.111111111,0.666666667,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1.104643766,0.801725751,0.629720968,0
-37,1,0,2,34,21,0.333333333,0.153846154,1,1,2,1,1,1,1,0,0,0,0,0,1,0,3.622094002,0.397852856,1.09740343,0
-48,-1,1,7,31,34,0.714285714,0.7,3,3,1,1,0,0,0,0,0,0,0,0,0,1,1.216281534,0.799934765,0.632558669,0
-48,-5,1,6,26,34,0.166666667,0.4,2,1,1,1,1,1,0,1,0,0,0,2,1,2,3.155561264,0.537181935,0.962099854,1
-41,1,1,7,34,43,0.5,0.583333333,1,1,2,0,0,0,0,0,0,0,1,1,0,1,2.07280195,0.626305573,0.864516544,0
0,5,0,3,23,36,1,0.125,3,3,0,2,1,0,1,0,0,0,0,0,3,2,4.80904656,0.375247864,1.11781227,1
-14,-1,1,13,28,46,0,0.705882353,2,3,3,2,1,0,0,0,0,0,1,1,1,3,1.429753727,0.803253576,0.627290083,1
37,8,0,1,36,39,0.166666667,0.04,2,2,0,0,4,1,1,0,0,0,0,0,1,1,6.167697105,0.010228521,1.406962316,0
-45,2,1,6,38,35,0.2,0.75,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1.248200836,0.798406639,0.634969859,0
-22,-1,0,5,23,39,0.166666667,0.227272727,1,3,3,2,0,1,0,2,0,0,0,0,0,0,4.681465241,0.337241297,1.151311168,0
28,8,1,18,28,42,1,0.375,3,4,4,2,3,2,0,0,1,0,0,0,1,1,3.793039351,0.534413645,0.964972906,0
36,-12,0,15,14,26,0.375,0.087719298,2,2,3,5,1,2,0,2,0,2,4,4,1,5,6.860960519,0.392029486,1.102697161,0
-59,-1,1,4,25,23,0.222222222,0.444444444,0,1,1,2,1,1,0,0,0,0,1,0,1,1,2.154149457,0.439209852,1.059046881,1
-15,2,0,4,39,36,0,0.153846154,2,3,0,0,2,2,2,0,1,0,0,0,2,2,5.470498956,0.249733111,1.224962766,0
-67,-2,0,0,10,19,0.090909091,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,4.269113031,0,1.414213562,0
-37,1,1,7,25,23,1,0.875,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0.340795034,0.965821816,0.261450509,0
-45,0,1,9,19,30,1,0.818181818,3,3,2,2,0,0,0,0,0,0,0,0,1,1,0.858522835,0.82697288,0.588263751,0
-19,9,1,7,24,38,0,0.277777778,4,1,0,0,2,1,1,0,1,0,1,0,1,1,3.502862898,0.482171332,1.017672509,0
1,-2,1,15,34,33,1,0.666666667,0,0,2,3,1,1,0,0,0,0,1,1,2,2,0.705694776,0.875498721,0.499001561,0
-29,0,0,3,21,35,0.6,0.2,2,1,1,1,0,1,0,0,0,0,0,1,0,1,3.248064987,0.492522542,1.007449709,0
-27,2,0,0,12,34,0.214285714,0,4,2,1,1,1,1,0,0,0,0,0,0,1,1,5.686337456,0,1.414213562,0
47,12,0,6,36,42,0.111111111,0.090909091,4,3,0,0,0,0,1,0,1,1,0,0,4,1,6.357286431,0.070364482,1.363550892,0
-19,3,1,8,34,30,1,0.533333333,2,1,1,0,0,1,0,0,0,0,0,0,2,2,2.149129911,0.711764442,0.75925695,1
-64,1,1,3,22,26,1,0.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.679561884,0.888254015,0.472749373,1
-34,-1,0,7,29,32,0,0.583333333,5,5,0,0,1,1,1,0,0,0,0,0,1,1,1.704358495,0.69567186,0.780164264,1
-32,0,0,13,27,32,0,0.529411765,5,5,0,1,1,1,0,0,0,0,0,1,3,1,1.591655048,0.82898716,0.584829616,1
-65,-1,0,0,22,21,0.25,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,4.486520905,0,1.414213562,0
-22,1,1,10,40,46,1,0.666666667,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1.853592946,0.653879108,0.832010687,1
-45,1,0,0,30,32,0.25,0,2,1,0,1,1,0,0,1,1,0,0,0,0,0,4.734671503,0,1.414213562,0
-53,-6,0,1,12,29,0.5,0.052631579,1,1,1,2,1,1,0,0,0,0,1,2,1,2,5.027766827,0.156115213,1.29914186,0
-65,-14,0,3,24,23,0.285714286,0.1,1,1,0,0,1,2,0,1,0,1,0,1,0,2,4.770267067,0.1916069,1.27152908,0
-45,1,1,5,33,37,0.2,0.416666667,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2.282864538,0.650059466,0.836588949,0
51,9,1,20,27,34,0,0.25,7,6,4,4,1,0,3,0,1,1,0,0,0,1,4.35919748,0.514160139,0.985738161,1
-47,2,0,2,27,33,0.333333333,0.166666667,0,0,1,2,1,1,0,0,0,0,0,0,0,0,2.786744395,0.49836915,1.001629523,0
-16,7,0,1,27,35,0.210526316,0.071428571,5,0,1,0,0,2,0,0,0,0,0,0,2,0,4.018484174,0.202152187,1.263208465,0
